,document,score,review_score,most_words,Pos_Neu_Neg
0,적극 추천합니다.,5.0,0.9545,"[('적극', 1), ('추천', 1)]",긍정
1,네. 청담신의주는 발렛주차도 해줍니다. 네. 차끌고가면 안전하게 주차해줘요. 진짜 쩔지않스니까. 괜히 기분좋아서 간단하게 먹으려는거 그이상 먹게되네요.,3.0,0.9663,"[('네', 2), ('청담', 1), ('신의주', 1), ('발렛주차', 1), ('차', 1), ('안전하게', 1), ('주차', 1), ('진짜', 1), ('쩔지않스', 1), ('기분', 1)]",긍정
2,24시간 영업이라 개꿀임~~~~근처에서 술 진탕마시고 새벽에 집들어가기전에 해장하고 들어가는 필수코스임. 하도많이가서 이모님이 주문안해도 알아서 가져다주실정도임ㅋㅋㅋㅋㅋㅋㅋㅋ,3.5,0.9351,"[('임', 2), ('영업', 1), ('개꿀임', 1), ('근처', 1), ('술', 1), ('진탕', 1), ('새벽', 1), ('집', 1), ('해장', 1), ('필수', 1)]",긍정
3,샵 영업후에 필수코스임ㅋㅋ 울 쌤들 여기만가면 그냥 네발로기어나갈정도로 술들이부으심ㅋㅋㅋㅋㅋㅋㅋㅋ순대국은괜찮다면서 계속마시는데 담날에 진짜 노답임,3.0,0.4826,"[('임', 2), ('샵', 1), ('영업', 1), ('후', 1), ('필수', 1), ('코스', 1), ('울', 1), ('쌤', 1), ('기만', 1), ('가면', 1)]",중립
4,순대국보다 살짝 값이 더 나가는 술국… 하… 술깨러갔다가 술먹게만드는 마약같은녀석… 진ㅉ ㅏ순대국먹지말고 술국드세요.. 이게진리임…,3.0,0.5389,"[('대국', 2), ('술국', 2), ('술', 2), ('살짝', 1), ('값', 1), ('더', 1), ('마약', 1), ('같은', 1), ('녀석', 1), ('진', 1)]",중립
5,"울아들이 좋아하는 순대~ 엄마로써 당면순대보단 고기순대가 낫겠다싶어서 종종 포장해서 먹여요 ^^~ 식어도맛있고, 따로 입맛에맛게 순대볶음으로도 활용되니 굿굿입니다요 ㅎㅎ",3.0,0.9913,"[('순대', 2), ('아들', 1), ('좋아하는', 1), ('엄마', 1), ('로써', 1), ('당면', 1), ('고기순대', 1), ('종종', 1), ('포장', 1), ('맛있고', 1)]",긍정
6,"옆테이블 모듬순대먹는거보고 비주얼대박이라 주저없이 주문추가!!ㅋㅋㅋㅋ(이때이미 순대국먹는중이였음) 다먹지도못하고 포장했지만, 진짜 순대종류가 이리많은거 처음봤어요!! 오징어순대짱!",3.0,0.9784,"[('옆', 1), ('테이블', 1), ('듬', 1), ('순대', 1), ('보고', 1), ('비주', 1), ('얼', 1), ('대박', 1), ('주저', 1), ('주문', 1)]",긍정
7,인터넷평으로는 꽤나 많은 욕을 보유하고있지만 그만큼 단골도많은 인기만점순대국집임. 그냥 새벽에 출출한데 밥만먹고가고싶을떄 가면 딱임,3.5,0.9778,"[('많은', 2), ('인터넷', 1), ('평', 1), ('꽤', 1), ('욕', 1), ('보유', 1), ('단골', 1), ('인기', 1), ('만점', 1), ('대국', 1)]",긍정
8,클럽에서 놀고 아침밥먹고가기좋아요 ^^~ 놀다보면 막차는무슨 ㅎㅎ 첫차타고가야하는데 사실 그때까지 갈곳이 마땅치가않던지라 일부러 여기까지와서 그냥 밥한그릇먹고가요,3.5,0.8825,"[('클럽', 1), ('아침밥', 1), ('좋아요', 1), ('막', 1), ('무슨', 1), ('차', 1), ('사실', 1), ('그때', 1), ('곳', 1), ('마땅', 1)]",긍정
9,"다들 거의 해장하러오는덴가봐요 ㅋㅋㅋㅋㅋㅋㅋ나만그런줄알았넼ㅋㅋㅋ 24시간 풀영업이면 손님없으면 거의 음식재탕하고그런데가 많던데, 여긴올때마다 그런느낌이 전혀안들어서 더자주오는거같아요",3.5,0.3837,"[('거의', 2), ('해장', 1), ('덴', 1), ('나', 1), ('그런줄', 1), ('넼', 1), ('풀', 1), ('영업', 1), ('손님', 1), ('없으면', 1)]",중립
