,document,score,review_score,most_words,Pos_Neu_Neg
0,입맛에 맞는 편이에요  뜨끈한 쌀국수 국물이 생각나요 :),3.0,0.5841,"[('입맛', 1), ('편이', 1), ('뜨끈한', 1), ('쌀국수', 1), ('국물', 1)]",중립
1,제가 좋아하는 베트남 요리집? 레스토랑? 베트남 가게? 에요 ㅋㅋㅋ,3.0,0.9435,"[('베트남', 2), ('제', 1), ('좋아하는', 1), ('요리', 1), ('집', 1), ('레스토랑', 1), ('가게', 1)]",긍정
2,교통편이 편리하지는 않지만.. 베트남 요리를 말할때 나에게는 절대 빼놓을수 없는 숨은 맛집..,3.0,0.79,"[('교통', 1), ('편이', 1), ('편리하지는', 1), ('베트남', 1), ('요리', 1), ('말', 1), ('때', 1), ('나', 1), ('절대', 1), ('없는', 1)]",긍정
3,오픈한지 얼마되지 않았지만 오픈후 동네주민들의 꾸준한 지지를 받는 곳,2.5,0.3585,"[('오픈', 2), ('한지', 1), ('얼마', 1), ('후', 1), ('주민', 1), ('꾸준한', 1), ('지지', 1), ('곳', 1)]",중립
0,진짜태국에서 먹었던 맛임ㅋㅋㅋㅋ 맛있당맛잇당,5.0,0.9472,"[('진짜', 1), ('태국', 1), ('맛임', 1), ('맛있당', 1), ('맛', 1)]",긍정
1,'본격 태국음식'을 내세우는 곳. 간을 현지처럼 해달라면 강하게 해줍니다. 그렇게 하니 맛있었어요. 가격 저렴. 시장 초입에 있어서 찾기 어려울 수도 있음. 옆에 주차는 되긴 되는데 좁고 시장통이라 재수나쁨 차대기 어려울 수있어요.,3.5,0.8752,"[('본격', 1), ('태국', 1), ('음식', 1), ('곳', 1), ('간', 1), ('현지', 1), ('강하게', 1), ('하니', 1), ('맛있었어요', 1), ('가격', 1)]",긍정
2,오늘 일하는 검은 모자 쓴      여종업원 매너 없어요.......... 좀 웃으면서 서빙해주세요 -.- 맛도 중요하지만 서비스도 좀 어떻게 하셔야할 듯,3.5,0.1216,"[('좀', 2), ('오늘', 1), ('일', 1), ('검은', 1), ('모자', 1), ('종업원', 1), ('매너', 1), ('없어요', 1), ('서빙', 1), ('맛', 1)]",부정
3,가장 태국스러운 태국음식! 팟타이랑 파카파우무쌉!완존 맛난다능!,3.5,0.3915,"[('태국', 2), ('가장', 1), ('음식', 1), ('팟타이', 1), ('파카', 1), ('파', 1), ('우무', 1), ('완존', 1), ('맛', 1), ('능', 1)]",중립
4,진짜 맘에 드는 편이네요,3.0,0.8882,"[('진짜', 1), ('맘', 1), ('편이', 1)]",긍정
5,깔끔했었음,3.0,0.934,"[('깔끔했었음', 1)]",긍정
6,똠얌꿍  좋았음,3.0,0.8948,"[('똠얌꿍', 1), ('좋았음', 1)]",긍정
7,"태국음식을 제대로 하려고 하는 곳. 현지보다 향신료나 신맛이 약한편이니 현지음식에 익숙한분은 주문할때 강하게 요구하면 좋을듯. 쌩쏨은 창소다와, 라임. 얼음의 조합이 최고. 얼음가득 후 1 쌩쏨, 한잔 가득 창소다, 라임 1/4조각 추천함. 카이텃이 싼편.  메뉴에없는 타이요리를 물어보니 하루 전 예약하면 만들어줄 수 있다고 함.",3.5,0.5757,"[('음식', 2), ('쌩', 2), ('창소', 2), ('라임', 2), ('얼음', 2), ('가득', 2), ('함', 2), ('태국', 1), ('제대로', 1), ('곳', 1)]",중립
0,먹고싶을만 하네.  주방장이 태국 현지인이라더니 굿!,3.0,0.9627,"[('주방', 1), ('태국', 1), ('지인', 1), ('더니', 1), ('굿', 1)]",긍정
1,깔끔했어요 타이음식을 더 느낄 수 있어서 좋았습니다~,3.0,0.9714,"[('깔끔했어요', 1), ('이음', 1), ('더', 1), ('수', 1), ('있어서', 1), ('좋았습니다', 1)]",긍정
2,만족스러워요 분위기도 좋고요. 추천합니다,3.0,0.9694,"[('만족스러워요', 1), ('분위기', 1), ('좋고요', 1), ('추천', 1)]",긍정
3,좋았었음 맛있어요 시끄럽지도 않았구요ㅋㅋ,2.5,0.9292,"[('좋았었음', 1), ('맛있어요', 1), ('시끄럽지도', 1)]",긍정
0,국물 너무 좋고 면도 부담없구 맛나네유,3.8,0.9762,"[('국물', 1), ('좋고', 1), ('면도', 1), ('부담', 1), ('없구', 1), ('맛', 1), ('유', 1)]",긍정
1,가격대비 아쉬운 양과 그닥 특출나지 않은 맛(후기를 읽어보니 면은 리필이 가능했나봅니다)매운소곱창쌀국수/ 우삽겹 주문개취론 우삼겹 한표,2.9,0.0463,"[('가격', 1), ('대비', 1), ('아쉬운', 1), ('양', 1), ('그닥', 1), ('특출나지', 1), ('맛', 1), ('후기', 1), ('리필', 1), ('가능했나', 1)]",부정
2,웨이팅이 가치있을지는 물음표…(평범한 맛)웨이팅이 현장대기라 마음에 들지 않았으나안내해주는 직원은 대체로 친절하였음,3.9,0.7501,"[('웨이팅', 2), ('물음표', 1), ('평범한', 1), ('맛', 1), ('현장', 1), ('대기', 1), ('마음', 1), ('안내', 1), ('직원', 1), ('대체로', 1)]",긍정
3,평범하게 맛있습니다~,3.1,0.8047,"[('평범하게', 1), ('맛있습니다', 1)]",긍정
4,맛은 있는데 엄청나게 줄 서서 먹을 필요까진없어요,1.0,0.8208,"[('맛', 1), ('있는데', 1), ('엄청나게', 1), ('줄', 1), ('서서', 1), ('필요', 1), ('없어요', 1)]",긍정
5,맛 3점,2.0,0.5056,"[('맛', 1), ('점', 1)]",중립
6, 환경 1점,4.0,0.6177,"[('환경', 1), ('점', 1)]",중립
7, 친절 0점.맛은 그냥 먹을만 함,3.2,0.4364,"[('친절', 1), ('점', 1), ('맛', 1), ('그냥', 1), ('함', 1)]",중립
8, 근데 가격이 사악함.먹는 환경은 닭장임. 옆에 커플이랑 합석하는 줄?친절은 여직원교육 좀 시켜야할 듯,5.0,0.8353,"[('가격', 1), ('사악함', 1), ('환경', 1), ('닭장', 1), ('임', 1), ('옆', 1), ('커플', 1), ('합석', 1), ('줄', 1), ('친절', 1)]",긍정
9, 화장실에서 문 좀 두드렸더니,3.1,0.487,"[('화장실', 1), ('문', 1), ('좀', 1)]",중립
