0,맛있음,2.0
1,무난하다,3.8
2,그냥 흔한 회전초밥 퀄리티. 굳이 웨이팅 할 필요는 없을듯.,3.8
3,아무리 강남이라지만 가격대비 맛은 딱히..,3.7
4,평일 점심에 여자 직원들이 만드는거 밥 양이 너무 많아요. 깜짝 놀랐네요... 갈수록 질이 떨어지는 것 같아서 안타까워요.,3.4
5,웨이팅이 극악이지만 시간 잘 맞춰가면 갓벽 한국에서 스시는 갓덴이 가성비,3.5
6, 맛 모두 평타 이상이라 넘 좋아요,3.9
7,강남에서 뭐 맛있는걸 먹어본 기억이 별로 없는데,3.7
8, 내 기준 정말 가성비좋고 맛있었다. 미식가가 아니라서 싼거도 주문해서 먹고 비싼건 레일에서 집어먹었는데 퀄리티가 다 너무 좋았음. 와규도 맛있고 생선류도,3.5
9, 계란이나 유부도 다 맛있었다. 재방문의사 58000%,5.0
10,이 정도면 솔직히 일본에 스시 먹으러 갈 필요 없지요. 롤 같은 건 없는 진짜 스시집입니다.,3.2
11,웨이팅이 항상 길지만,3.6
14,핸드폰 보고 옆에 다이소 구경하다 보면 시간 잘가욥좁지만 주차자리도 있고,4.3
16, 직원들도 일 잘하고 친절,4.0
18, 여기서 일하기 힘드실 것 같다는 생각 들었어요 너무 바빠서,4.9
20,저는 오마카세보다 제가 골라먹을 수 있는 갓덴스시가 더 좋아요... 맛도 그냥 갓덴스시가 제 타입,4.0
22, 머 오마카세도 맛있는 곳은 맛있지만,4.4
24, 무튼 또 먹고싶네요🥹There's always waiting here but it's worth it.It's small but there's also a parking lot.You can choose what you want to have. Also,3.8
25, the staffs are so friendly and professional. Highly recommend this sushi place if you are planning to visit Gangnam :),4.1
26,괜찮아요,4.0
27,친절하고 맛있음 웨이팅이 긴 것빼곤 좋아요,3.7
28,너무너무 맛있어요ㅠㅠ기다리는게 안아깝네요,5.0
29,조아여,4.5
30,직원분들이 딱 적당히 친절합니다. 너무 좋아요. 고기류보다 생선류 초밥이 훌륭하고,3.5
31, 사이드로 시킨 안주도 떨어지지 않습니다. 후기 잘 안쓰는데 강남 유일의 맛집이네요. 강추합니다.,4.3
32,긴말이 필요 없어요. 맛있습니다.,3.6
33,10년 단골이에요.,3.8
34,웨이팅이 좀 길었고 나머진 쏘쏘,3.9
35,참다랑어 대뱃살은 god,3.4
36,낫배드 갓덴,3.4
37,갓덴스시 매장 다른곳도 가봤는데 강남점이 제일 나은듯 합니다. 스시 종류나 선도,3.5
38, 맛까지 아주좋았고 오도로,3.9
39, 주도로가 특히 인상적이었네요서울 시내에선 삼성동 스시히로바와 투탑일듯 합니다.단점이라면 대부분의 맛집이 그렇듯 웨이팅이 너무 길다는거ㅎ,3.4
