,document,score,review_score,most_words,Pos_Neu_Neg
0,오랫만에 개미집 매운갈낙찜 좋아요,5.0,0.9257,"[('만', 1), ('개미', 1), ('집', 1), ('매운', 1), ('낙찜', 1), ('좋아요', 1)]",긍정
1,막걸리종류가 다양해서 고르 는데어찌나혼이나던지..ㅎㅎㅎ종류별로 다 먹고싶어요..ㅎㅎ!,5.0,0.9184,"[('종류', 2), ('막걸리', 1), ('다양해서', 1), ('혼', 1), ('별로', 1)]",긍정
2,여기 추천하고 싶은 메뉴가 너무 많아서 걍 먹고 싶은거 고르세요 그럼 다 맛있어요 ㅎㅎㅎㅎㅎㅎㅎ 짱짱,5.0,0.9766,"[('여기', 1), ('추천', 1), ('메뉴', 1), ('많아서', 1), ('그럼', 1), ('맛있어요', 1), ('짱짱', 1)]",긍정
3,가로수길 가면 꼭 들리는 개미집!!ㅋㅋㅋㅋㅋ 특히 비오는날 더 가고싶더라구요 ^^ 전들도 추천하고 막걸리류 다 맛있어요 대박~~,3.0,0.9818,"[('가로수길', 1), ('가면', 1), ('꼭', 1), ('개미', 1), ('집', 1), ('비', 1), ('날', 1), ('더', 1), ('전', 1), ('추천', 1)]",긍정
4,친구들과 술한잔 하러 가기 너무 좋아요 ^^ 음식들도 부담없고 신선하고 다 맛있네요~~~,5.0,0.9908,"[('친구', 1), ('술', 1), ('한잔', 1), ('가기', 1), ('좋아요', 1), ('음식', 1), ('부담', 1), ('없고', 1), ('신선하고', 1), ('맛있네요', 1)]",긍정
5,안주가 다양해요~ 독특한메뉴  위주였어요~깔끔한분위기가 맘에듭니다,4.0,0.9791,"[('안주', 1), ('다양해요', 1), ('독특한', 1), ('메뉴', 1), ('위주', 1), ('깔끔한', 1), ('분위기', 1), ('맘에듭니', 1)]",긍정
6,여기 청포도 막걸리 짱인데 ㅋㅋ 진짜 맛있어요!!!!! 이런거 첨 마셔봤는데 일단 청포도 막걸리 무조건 시켜보세요!!!!,3.0,0.9854,"[('청포도', 2), ('막걸리', 2), ('여기', 1), ('짱', 1), ('진짜', 1), ('맛있어요', 1), ('이런거', 1), ('일단', 1), ('무조건', 1)]",긍정
7,바삭한 전과 술이들어간 슬러 시가 잘어울려용~술맛에약한 분들도 부담없이 먹기좋을것같아용~,5.0,0.976,"[('바삭', 1), ('전과', 1), ('술', 1), ('슬러', 1), ('시가', 1), ('술맛', 1), ('약한', 1), ('분', 1), ('부담', 1), ('먹기', 1)]",긍정
8,가게이름과다르게 매장분위기 와 음식이 세련됬네요 ㅎㅎ 친구와 맛있다고 오두방정떨면서 먹었어요 ㅎㅎ,4.0,0.9887,"[('가게', 1), ('이름', 1), ('과다르', 1), ('매장', 1), ('분위기', 1), ('음식', 1), ('세련됬네요', 1), ('친구', 1), ('맛있다고', 1), ('방정', 1)]",긍정
9,유명한 가로수길 개미집^^ 이름부터가 독특하고 귀여워요 ㅋㅋ 인테리어도 이쁘구요 너무 맛있어용~~,4.0,0.9964,"[('유명한', 1), ('가로수길', 1), ('개미', 1), ('집', 1), ('이름', 1), ('독특하고', 1), ('귀여워요', 1), ('인테리어', 1), ('이쁘구요', 1), ('맛있어용', 1)]",긍정
10,모던한 인테리어에 토속적인 음식을 내어주는 반전있는 맛집^^ 굉장히 매력있어요~~~ 꼭 한번 가보세요 맛집이에요~~,5.0,0.9919,"[('맛집', 2), ('모던', 1), ('인테리어', 1), ('토속', 1), ('음식', 1), ('반전', 1), ('있는', 1), ('굉장히', 1), ('매력', 1), ('있어요', 1)]",긍정
11,메뉴마다 자세한 설명이있어 서 고르기 편했어요~주류도 색다른게 많았는데 조만간 또 들려야겠어요~,5.0,0.9866,"[('메뉴', 1), ('자세한', 1), ('설명', 1), ('있어', 1), ('편했어요', 1), ('주류', 1), ('색다른게', 1), ('많았는데', 1), ('조만간', 1), ('또', 1)]",긍정
12,저만그런지모르겠는데 이곳 막걸리만먹으면 담날 머리가안아픔ㅋㅋㅋㅋ숙취없이맘껏먹을수있는개미집!!!,4.0,0.327,"[('만', 1), ('그런지', 1), ('곳', 1), ('막걸리', 1), ('담날', 1), ('머리', 1), ('가안', 1), ('아픔', 1), ('숙취', 1), ('맘껏', 1)]",부정
13,해산물이 정말 신선합니다.  비린거 전혀 느껴지지않고 입에 착착감기네요,5.0,0.7279,"[('해산물', 1), ('정말', 1), ('신선합니다', 1), ('비린거', 1), ('전혀', 1), ('입', 1), ('착착', 1)]",긍정
14,당일 공수해오는 신선한 해 산물요리를 바로바로 고급진 요리의 음식으로 맛 볼수있는 맛집!,4.0,0.9695,"[('요리', 2), ('당일', 1), ('공수', 1), ('신선한', 1), ('해', 1), ('산물', 1), ('고급', 1), ('진', 1), ('음식', 1), ('맛', 1)]",긍정
15,가격이...모임갖기에 좋을듯한  맛집...,4.0,0.8485,"[('가격', 1), ('모임', 1), ('좋을듯', 1), ('맛집', 1)]",긍정
16,논현맛집투어중에 우연히들 린곳~가격은 좀있는편이라 간단히 한잔하러 오기에 딱인 장소!,4.0,0.9895,"[('논현', 1), ('맛집', 1), ('투어', 1), ('린곳', 1), ('가격', 1), ('좀있는', 1), ('편이', 1), ('간단히', 1), ('한잔', 1), ('오기', 1)]",긍정
17,깔끔한 해산물요리와 퓨전한 국안주가 막걸리와 잘 어울리는 곳,4.0,0.9748,"[('깔끔한', 1), ('해산물', 1), ('요리', 1), ('퓨전', 1), ('국', 1), ('안주', 1), ('막걸리', 1), ('곳', 1)]",긍정
18,유자막걸리짱!!!!달달한게 막 걸리 못먹는 나한테 딱 맞는맛!!ㅠㅠㅠ아 먹고싶어엉!!,5.0,0.9094,"[('유자', 1), ('막걸리', 1), ('달달', 1), ('게', 1), ('막', 1), ('나', 1), ('맛', 1)]",긍정
19,안준는 전체적으로 맛있음!! 가격이 좀 있어서 배불리먹으러 오기 고민되네용ㅠㅠㅠㅠ....,4.0,0.9269,"[('전체', 1), ('맛있음', 1), ('가격', 1), ('좀', 1), ('있어서', 1), ('배', 1), ('불리', 1), ('오기', 1), ('고민', 1), ('용', 1)]",긍정
20,김치치즈전???이란거 먹어봤는데 새콤바삭한 김치전과 풍부한치즈맛이 술을 계속부르네욬ㅋㅋㅋㅋㅋㅋ,4.0,0.6865,"[('김치', 1), ('치즈', 1), ('전', 1), ('이란', 1), ('거', 1), ('콤', 1), ('바삭', 1), ('김치전', 1), ('풍부한치', 1), ('맛', 1)]",긍정
21,모짜렐라 치즈전하고 낙지젓갈 먹었었는데 진짜 맛있었어요 ^^ 분위기도 너무 좋더라구요~~,5.0,0.9877,"[('모짜렐라', 1), ('치즈', 1), ('전하', 1), ('낙지', 1), ('젓갈', 1), ('진짜', 1), ('맛있었어요', 1), ('분위기', 1), ('좋더라구요', 1)]",긍정
